"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","lr","model_type","num_workers","optimizer","posenc","random_dropout_channel","scale","scheduler","temperature","warmup_epochs","weight_decay","crop_size","epoch","lr-SGD","train/loss","train/mae","train/mse","train/psnr","train/ssim","trainer/global_step","valid/loss","valid/mae","valid/mse","valid/psnr","valid/ssim"
"fourier_5.0","finished","-","jabareen","","2024-03-03T11:58:20.000Z","25178","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.38463884592056274","0.4165631830692291","0.4529690146446228","33.72015380859375","Infinity","6899","0.4398804605007171","0.4136339724063874","0.4398804903030395","31.389055252075195","0.5545234084129333"
"lfpe","finished","-","jabareen","","2024-03-03T11:58:20.000Z","25231","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.LFPE","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.3674570322036743","0.4147282838821411","0.4491479992866516","33.33946990966797","0.5557395219802856","6899","0.42901965975761414","0.4076794981956482","0.42901965975761414","31.703025817871097","0.5635617971420288"
"sincos_100000.0","finished","-","jabareen","","2024-03-03T11:58:20.000Z","25207","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.SINCOS","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.4010657668113709","0.41423162817955017","0.44575098156929016","33.59953689575195","0.5601438879966736","6899","0.41810014843940735","0.40460869669914246","0.41810017824172974","36.09153366088867","0.5695694088935852"
"sincos_10000.0","finished","-","jabareen","","2024-03-03T11:58:20.000Z","25133","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.SINCOS","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.40835458040237427","0.4141795039176941","0.444222092628479","33.19706344604492","0.561945378780365","6899","0.4244111180305481","0.4106582701206207","0.4244111180305481","37.53736114501953","0.5604654550552368"
"fourier_1.0","finished","-","jabareen","","2024-03-03T11:58:19.000Z","25141","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.3801258802413941","0.417302280664444","0.454403817653656","32.61109161376953","0.5541234612464905","6899","0.4430263638496399","0.41283077001571655","0.4430263340473175","32.610870361328125","0.5587778091430664"
"fourier_0.5","finished","-","jabareen","","2024-03-03T11:58:19.000Z","25178","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.405355840921402","0.4181781113147736","0.4551745355129242","32.65243148803711","-Infinity","6899","0.4360041618347168","0.41102761030197144","0.4360041320323944","31.426456451416016","0.5557119250297546"
"learnable","finished","-","jabareen","","2024-03-03T11:58:18.000Z","25209","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.LEARNABLE","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.4506187736988067","0.4127862751483917","0.4403574466705322","36.016754150390625","0.5605809688568115","6899","0.44109857082366943","0.4071049988269806","0.44109854102134705","37.16544723510742","0.5720224380493164"
"none","finished","-","jabareen","","2024-03-03T11:58:17.000Z","25240","","16","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.NONE","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.408657044172287","0.41400179266929626","0.44741061329841614","32.452491760253906","0.5578534603118896","6899","0.4212431013584137","0.40524595975875854","0.4212431013584137","37.95825958251953","0.5729656219482422"
"sincos_10000.0","finished","-","jabareen","","2024-03-01T14:10:06.000Z","16023","","16","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.SINCOS","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.4618239402770996","0.4116018414497375","0.42932188510894775","35.50661849975586","0.5623037219047546","6899","0.4243505597114563","0.40777820348739624","0.42435047030448914","31.09086799621582","0.534702479839325"
"fourier_1.0","finished","-","jabareen","","2024-03-01T14:10:06.000Z","15923","","16","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","true","1","SchedulerType.WARMUPEXP","10000","10","0","[96,112,96]","149","0.00001449676380431657","0.4062424898147583","0.4117080271244049","0.4347519874572754","31.740800857543945","0.5492903590202332","6899","0.437336266040802","0.4108589589595794","0.4373361766338349","32.1125373840332","0.546002209186554"
