"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","crop_size","lr","model_type","num_workers","optimizer","posenc","random_dropout_channel","scale","scheduler","temperature","warmup_epochs","weight_decay","epoch","lr-SGD","train/dice_edema","train/dice_enhancing","train/dice_necrotic","train/f1","train/loss","train/precision","train/recall","trainer/global_step","valid/dice_edema","valid/dice_enhancing","valid/dice_necrotic","valid/f1","valid/loss","valid/precision","valid/recall"
"fourier_0.5","finished","-","jabareen","","2024-03-01T20:01:48.000Z","17779","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","0.5","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5269647836685181","0.7193405032157898","0.5757777690887451","0.6279889941215515","0.34487175941467285","0.5120320916175842","0.8118420839309692","13949","0.516729474067688","0.744641125202179","0.591413676738739","0.6078142523765564","0.4285435676574707","0.4824154078960418","0.82130366563797"
"fourier_0.5","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45643","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","0.5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5225447416305542","0.7123009562492371","0.5709967017173767","0.6237702965736389","0.5656614303588867","0.4728971719741822","0.9160159826278688","13949","0.5084303617477417","0.7384358644485474","0.5796533226966858","0.6009226441383362","0.4323320388793946","0.4452931582927704","0.92378431558609"
"fourier_0.5","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29503","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","false","0.5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5549266338348389","0.6545489430427551","0.542131781578064","0.6412143707275391","0.4559439420700073","0.4941982626914978","0.9127398133277892","6899","0.5441980957984924","0.6744887232780457","0.5528713464736938","0.6267192363739014","0.4832968115806579","0.475979745388031","0.9171854853630066"
"fourier_1.0","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29475","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","false","1","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5607156753540039","0.6528019905090332","0.5444941520690918","0.648760199546814","0.4309441447257995","0.50203937292099","0.916651487350464","6899","0.5494255423545837","0.6711652874946594","0.5526176691055298","0.654035747051239","0.4795306921005249","0.5073684453964233","0.919978141784668"
"fourier_1.0","finished","-","jabareen","","2024-03-02T00:24:31.000Z","17718","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","1","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5268903970718384","0.7155823111534119","0.574586033821106","0.6197672486305237","0.3603482246398926","0.5053019523620605","0.8012800812721252","13949","0.5145772099494934","0.7423991560935974","0.5895313620567322","0.6287276148796082","0.4450730085372925","0.5140279531478882","0.8093180060386658"
"fourier_1.0","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45521","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","1","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5216711163520813","0.7114007472991943","0.5699462294578552","0.6229366064071655","0.38597601652145386","0.4703342914581299","0.9221245646476746","13949","0.5045099854469299","0.7351168394088745","0.5757997632026672","0.6091142892837524","0.4502142667770386","0.453976571559906","0.9253270030021667"
"fourier_5.0","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29556","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.FOURIER","false","5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5589405298233032","0.653157651424408","0.5426841378211975","0.6450918912887573","0.43814408779144287","0.4994488358497619","0.9106420874595642","6899","0.5510103702545166","0.6736758351325989","0.5541794300079346","0.6527612209320068","0.479923814535141","0.5054922103881836","0.9211174845695496"
"fourier_5.0","finished","-","jabareen","","2024-02-28T16:52:00.000Z","45785","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5227034091949463","0.7120971083641052","0.5706865787506104","0.6241897940635681","0.4362664818763733","0.4734320342540741","0.9158196449279784","13949","0.5090325474739075","0.7369285821914673","0.5775942206382751","0.6044493913650513","0.438484787940979","0.4487247467041016","0.9257040023803712"
"fourier_5.0","finished","-","jabareen","","2024-03-01T20:26:29.000Z","17708","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.FOURIER","false","5","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5239584445953369","0.7162138223648071","0.574723482131958","0.6229985952377319","0.3439239263534546","0.5058814883232117","0.8106799125671387","13949","0.5136510729789734","0.7443001866340637","0.5913585424423218","0.6172153949737549","0.44819721579551697","0.498084157705307","0.8112488985061646"
"learnable","finished","-","jabareen","","2024-02-28T16:51:59.000Z","45860","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.LEARNABLE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5277906656265259","0.7152481079101562","0.5779998898506165","0.6286715865135193","0.4202571213245392","0.4787435531616211","0.9153230786323548","13949","0.5141511559486389","0.7433822154998779","0.5877358317375183","0.6178621053695679","0.4377499520778656","0.4635664224624634","0.9261143207550048"
"learnable","finished","-","jabareen","","2024-03-03T11:58:34.000Z","29651","","16","[96,112,96]","0.001","ModelType.VIT_S","32","OptimizerType.SGD","PosEncType.LEARNABLE","false","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5657528638839722","0.6526111364364624","0.5427027344703674","0.6515055298805237","0.484328955411911","0.5065166354179382","0.9127885103225708","6899","0.5550399422645569","0.6726344227790833","0.5540162324905396","0.6320559978485107","0.46690234541893005","0.4789653718471527","0.9289855360984802"
"learnable","finished","-","jabareen","","2024-03-01T14:36:23.000Z","17624","","8","[96,112,96]","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PosEncType.LEARNABLE","false","1","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5383377075195312","0.723121702671051","0.5806267857551575","0.6416664123535156","0.4595862030982971","0.5329099893569946","0.806195080280304","13949","0.5310541987419128","0.7486571073532104","0.5977926254272461","0.6447094678878784","0.4224401116371155","0.5306716561317444","0.8211742043495178"
