"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","do_cutmix","do_mixup","image_dir_name","image_size","img_size","lr","model_type","num_workers","optimizer","patch_embedding","posenc","scale","scheduler","task","temperature","warmup_epochs","weight_decay","epoch","lr-SGD","train/accuracy","train/auroc","train/f1","train/loss","train/precision","train/recall","trainer/global_step","valid/accuracy","valid/auroc","valid/f1","valid/loss","valid/precision","valid/recall"
"sincos_100000.0","finished","-","jabareen","","2024-03-04T02:25:22.000Z","37373","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","1","SchedulerType.WARMUPEXP","binary","100000","10","0","149","0.00001449676380431657","0.6300469040870667","0.6762192249298096","0.6392692923545837","0.6629652976989746","0.6278621554374695","0.6510986089706421","91949","0.6269049644470215","0.6828022599220276","0.6290066838264465","0.6462327241897583","0.678999662399292","0.5858705043792725"
"sincos_10000.0","finished","-","jabareen","","2024-03-04T00:53:33.000Z","38001","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6330419182777405","0.6797380447387695","0.6416864991188049","0.6618178486824036","0.6310919523239136","0.6526427865028381","91949","0.6328094005584717","0.6888444423675537","0.6345878839492798","0.642913281917572","0.6856554746627808","0.5906000733375549"
"fourier_5.0","finished","-","jabareen","","2024-03-04T00:45:25.000Z","35449","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.637222170829773","0.6878430843353271","0.6461909413337708","0.6555799245834351","0.6350998282432556","0.6576763391494751","91949","0.6382350325584412","0.6967779994010925","0.6403300166130066","0.6382409930229187","0.6910958886146545","0.596511960029602"
"fourier_1.0","finished","-","jabareen","","2024-03-04T00:45:04.000Z","37243","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6449072360992432","0.6990397572517395","0.6513152718544006","0.6682941913604736","0.6443960070610046","0.6583847999572754","91949","0.6486076712608337","0.7085018157958984","0.6459237933158875","0.6331987977027893","0.7082157731056213","0.5937038064002991"
"fourier_0.5","finished","-","jabareen","","2024-03-03T15:44:28.000Z","32396","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","0.5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6408926248550415","0.6896119117736816","0.6495005488395691","0.663000226020813","0.6388283967971802","0.6605353951454163","91949","0.6427032351493835","0.6999152302742004","0.6442078351974487","0.6368026733398438","0.6965636014938354","0.5991723537445068"
"lfpe","finished","-","jabareen","","2024-03-03T15:43:44.000Z","32951","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LFPE","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6450983881950378","0.6990996599197388","0.6514812111854553","0.6684679985046387","0.6445996761322021","0.6585112810134888","91949","0.6487672328948975","0.7085731029510498","0.6460846066474915","0.6330845355987549","0.7083920836448669","0.593851625919342"
"learnable","finished","-","jabareen","","2024-03-03T15:43:11.000Z","32495","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LEARNABLE","0.5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6266950368881226","0.674272358417511","0.6297574639320374","0.6418498158454895","0.6268495321273804","0.6326924562454224","91949","0.6169313192367554","0.6762498617172241","0.6137259602546692","0.6506154537200928","0.6734946370124817","0.5637008547782898"
"none","finished","-","jabareen","","2024-03-03T15:42:09.000Z","38558","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.NONE","0.5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6215334534645081","0.6690146923065186","0.6260891556739807","0.6472971439361572","0.6228579878807068","0.6293540000915527","91949","0.6168515086174011","0.6689087152481079","0.6128668189048767","0.6552006006240845","0.6741752624511719","0.5617794990539551"
"fourier_0.5","finished","-","jabareen","","2024-03-02T14:57:05.000Z","28489","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","0.5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6369927525520325","0.6847736835479736","0.6392958760261536","0.6405198574066162","0.6327968239784241","0.6459298133850098","91949","0.6326497793197632","0.6954115629196167","0.6190633773803711","0.6451260447502136","0.7031955122947693","0.552911639213562"
"fourier_5.0","finished","-","jabareen","","2024-03-02T11:07:26.000Z","33826","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","5","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6375280618667603","0.6877252459526062","0.6389774084091187","0.6196886301040649","0.6339479088783264","0.6440873146057129","91949","0.6316125392913818","0.6989143490791321","0.6174496412277222","0.642974317073822","0.7026211619377136","0.5506946444511414"
"fourier_1.0","finished","-","jabareen","","2024-03-02T10:18:59.000Z","35825","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6449964046478271","0.6971520185470581","0.6454708576202393","0.6280477046966553","0.6420794129371643","0.6488983035087585","91949","0.6379159092903137","0.7079730033874512","0.6217703223228455","0.638654351234436","0.7129204869270325","0.5512858629226685"
"sincos_100000.0","finished","-","jabareen","","2024-03-02T09:56:56.000Z","32289","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","1","SchedulerType.WARMUPEXP","binary","100000","10","0","149","0.00001449676380431657","0.6278930306434631","0.6741589307785034","0.6310668587684631","0.6324586868286133","0.6232777833938599","0.6390531063079834","91949","0.6208409667015076","0.6831419467926025","0.605381190776825","0.6524185538291931","0.6908642649650574","0.5387230515480042"
"sincos_10000.0","finished","-","jabareen","","2024-03-02T05:20:24.000Z","34564","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6299576759338379","0.6774895191192627","0.6326125264167786","0.6269984841346741","0.6256381869316101","0.6397441029548645","91949","0.619245171546936","0.686354398727417","0.6010033488273621","0.6512739658355713","0.6919522285461426","0.5311853289604187"
"learnable","finished","-","jabareen","","2024-03-02T01:22:08.000Z","35087","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LEARNABLE","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.623075544834137","0.6685439348220825","0.6267149448394775","0.6697961091995239","0.6212807297706604","0.6322450637817383","91949","0.6127822399139404","0.6730812191963196","0.6022456884384155","0.6548404693603516","0.6759889721870422","0.5430091619491577"
"lfpe","finished","-","jabareen","","2024-03-02T00:58:39.000Z","33585","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LFPE","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.645021915435791","0.6971198320388794","0.6454060673713684","0.6278274655342102","0.6421767473220825","0.6486679911613464","91949","0.6383946537971497","0.707748532295227","0.6220183372497559","0.6387239098548889","0.7138208150863647","0.5511380434036255"
"none","finished","-","jabareen","","2024-03-02T00:31:10.000Z","33914","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.NONE","1","SchedulerType.WARMUPEXP","binary","10000","10","0","149","0.00001449676380431657","0.6235853433609009","0.6694831848144531","0.622888445854187","0.6379818916320801","0.6215472221374512","0.6242354512214661","91949","0.6072767972946167","0.6673004031181335","0.5881171822547913","0.6602340340614319","0.6778549551963806","0.5193614959716797"
"learnable","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LEARNABLE","0","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.6056025624275208","0.6455087661743164","0.610967218875885","0.6906033754348755","0.6045076847076416","0.6175663471221924","15935","0.6181281208992004","0.6589372158050537","0.636708676815033","0.6546158194541931","0.6544944047927856","0.6198640465736389"
"sincos_100000.0","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","0","SchedulerType.WARMUPEXP","binary","100000","10","0","25","0.0006332511891367891","0.6114141345024109","0.6496296525001526","0.6249600052833557","0.6471747159957886","0.6045836210250854","0.6467577815055847","15935","0.6167716979980469","0.6778169870376587","0.6112505197525024","0.6525439620018005","0.6756128072738647","0.5580845475196838"
"fourier_5.0","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","5","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.6198129057884216","0.6608624458312988","0.6282694935798645","0.6710069179534912","0.6158450245857239","0.6412056684494019","15935","0.5973829030990601","0.6751627326011658","0.5536882877349854","0.6646143198013306","0.6894273161888123","0.46260714530944824"
"sincos_10000.0","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.SINCOS","0","SchedulerType.WARMUPEXP","binary","10000","10","0","25","0.0006332511891367891","0.6147404909133911","0.6529574990272522","0.6279461979866028","0.6448309421539307","0.6078150868415833","0.6494564414024353","15935","0.6188462376594543","0.6792804002761841","0.612539529800415","0.6522639989852905","0.6787704229354858","0.5580845475196838"
"fourier_0.5","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","0.5","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.6238147616386414","0.6651550531387329","0.6350834965705872","0.6689258217811584","0.617843747138977","0.6533129811286926","15935","0.603207528591156","0.681672215461731","0.5534704327583313","0.666357696056366","0.7051017880439758","0.4555128514766693"
"fourier_1.0","crashed","-","jabareen","","2024-03-02T00:06:49.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","1","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.6308625340461731","0.6755166053771973","0.6403685212135315","0.6643478870391846","0.6255488395690918","0.655907392501831","15935","0.6004946827888489","0.6869388818740845","0.5487156510353088","0.6643442511558533","0.7031646966934204","0.44989654421806335"
"lfpe","crashed","-","jabareen","","2024-03-02T00:06:47.000Z","86287","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.LFPE","0","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.6309008002281189","0.6755781769752502","0.640401303768158","0.6642053127288818","0.6255882978439331","0.6559328436851501","15935","0.6010532379150391","0.686837911605835","0.5493059158325195","0.6642799973487854","0.7040203213691711","0.4503399431705475"
"none","crashed","-","jabareen","","2024-03-02T00:06:46.000Z","86347","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","32","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.NONE","0","SchedulerType.WARMUPEXP","binary","0","10","0","25","0.0006332511891367891","0.604481041431427","0.6443806886672974","0.6075222492218018","0.6425608992576599","0.6035985946655273","0.6114972233772278","15935","0.6037660837173462","0.6557111740112305","0.5897223949432373","0.6619429588317871","0.668602466583252","0.5274903774261475"
"fourier_5.0","crashed","-","jabareen","","2024-02-27T11:06:05.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","5","SchedulerType.WARMUPEXP","binary","0","10","0","77","0.00012992902989583107","0.6344565749168396","0.682278037071228","0.6412328481674194","0.6642450094223022","0.6304294466972351","0.6524129509925842","47582","0.6331285238265991","0.6907929182052612","0.6364642381668091","0.6420336961746216","0.6842910647392273","0.5948861837387085"
"fourier_1.0","crashed","-","jabareen","","2024-02-27T11:06:05.000Z","86317","","128","false","false","resized256","224","224","0.001","ModelType.VIT_B","64","OptimizerType.SGD","PatchEmbeddingType.CONV","PosEncType.FOURIER","1","SchedulerType.WARMUPEXP","binary","0","10","0","77","0.00012992902989583107","0.6457993388175964","0.6945704221725464","0.6512048244476318","0.6474993824958801","0.6423054337501526","0.6603543162345886","47582","0.6427032351493835","0.7060711979866028","0.6432440876960754","0.633421003818512","0.697718620300293","0.596659779548645"
