"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","clip_length","dropout_channel","dropout_p","dropout_pixel","num_workers","output_variable","sampling_rate","epoch","lr-SGD","train/loss","train/mae","train/mse","train/r2","trainer/global_step","valid/loss","valid/mae","valid/mse","valid/r2"
"fourier_1.0","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16414","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","28.81194496154785","4.935663223266602","42.588863372802734","0.7235534191131592","34949","127.38492584228516","8.19677448272705","127.38492584228516","0.15656250715255737"
"sincos_10000.0","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16497","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","21.632061004638672","3.7413487434387207","24.447439193725582","0.841259777545929","34949","148.13999938964844","8.935823440551758","148.13999938964844","0.019139587879180908"
"lfpe","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16415","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","30.63393783569336","4.535820007324219","35.49864959716797","0.769576370716095","34949","128.06414794921875","8.082143783569336","128.06414794921875","0.15206527709960938"
"fourier_0.5","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16497","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","27.267845153808594","4.781116008758545","39.86481094360352","0.7412353754043579","34949","144.85214233398438","8.606200218200684","144.85214233398438","0.04090911149978638"
"sincos_100000.0","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16495","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","21.93172836303711","3.679345607757568","23.64786148071289","0.8464515209197998","34949","152.1122589111328","9.00251579284668","152.1122589111328","-0.007161378860473633"
"learnable","finished","-","jabareen","","2024-03-03T19:50:07.000Z","16474","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","180.89898681640625","8.100178718566895","119.772705078125","0.22203153371810913","34949","137.57406616210938","8.894733428955078","137.57406616210938","0.08909851312637329"
"none","finished","-","jabareen","","2024-03-03T19:50:05.000Z","16477","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","65.16690063476562","5.896120548248291","63.71574783325195","0.5862858295440674","34949","169.3784637451172","9.382742881774902","169.3784637451172","-0.12148392200469972"
"fourier_5.0","finished","-","jabareen","","2024-03-03T19:50:08.000Z","16476","","32","16","false","0.5","false","32","ef","1","149","0.00001449676380431657","53.57223129272461","5.631891250610352","56.58595275878906","0.632697582244873","34949","129.5654754638672","8.282193183898926","129.5654754638672","0.1421247124671936"
"learnable","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16291","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","31.156551361083984","3.649761915206909","22.645584106445312","0.8529725074768066","34949","158.218017578125","9.276922225952148","158.218017578125","-0.04758870601654053"
"fourier_5.0","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16289","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","39.39141082763672","4.191114902496338","30.11832618713379","0.8044547438621521","34949","112.9372329711914","7.5808610916137695","112.9372329711914","0.2522231936454773"
"sincos_100000.0","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16309","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","5.723480224609375","2.0847959518432617","7.556893825531006","0.9509461522102356","34949","163.49136352539062","9.382134437561035","163.49136352539062","-0.0825045108795166"
"sincos_10000.0","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16336","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","5.822691917419434","2.023387908935547","7.005377769470215","0.95452618598938","34949","161.91102600097656","9.41722583770752","161.91102600097656","-0.07204067707061768"
"fourier_1.0","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16338","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","55.76258850097656","5.093317031860352","44.781978607177734","0.7092499732971191","34949","122.47608947753906","8.111061096191406","122.47608947753906","0.18906474113464355"
"lfpe","finished","-","jabareen","","2024-02-28T21:09:28.000Z","16266","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","53.12538146972656","5.690253734588623","58.12908554077149","0.6225929260253906","34949","120.8678741455078","8.01213264465332","120.8678741455078","0.19971305131912231"
"none","finished","-","jabareen","","2024-02-28T21:09:26.000Z","16290","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","12.709278106689451","2.7969894409179688","13.381972312927246","0.9131340384483336","34949","152.91256713867188","9.214702606201172","152.91256713867188","-0.01246047019958496"
"fourier_0.5","finished","-","jabareen","","2024-02-28T21:09:29.000Z","16310","","32","16","false","0.5","false","32","ef","4","149","0.00001449676380431657","52.55043029785156","4.104053497314453","29.135509490966797","0.8108357191085815","34949","136.8540802001953","8.516499519348145","136.8540802001953","0.09386563301086426"
"fourier_0.5","finished","-","jabareen","","2024-02-28T12:37:59.000Z","18729","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","67.96408081054688","5.627645492553711","56.61199951171875","0.6324427127838135","34949","144.43173217773438","8.860672950744629","144.43173217773438","0.043692708015441895"
"learnable","finished","-","jabareen","","2024-02-28T12:37:59.000Z","18755","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","45.40077209472656","4.110313892364502","28.822355270385746","0.8128695487976074","34949","163.15194702148438","9.195645332336426","163.15194702148438","-0.08025705814361572"
"none","finished","-","jabareen","","2024-02-27T16:02:00.000Z","16255","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","142.5484619140625","8.263739585876465","124.71257781982422","0.19012725353240967","34949","138.8492889404297","8.74344253540039","138.8492889404297","0.08065497875213623"
"sincos_10000.0","finished","-","jabareen","","2024-02-27T16:02:02.000Z","16306","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","60.484375","5.406711101531982","51.76835250854492","0.663820743560791","34949","144.4735870361328","8.792092323303223","144.4735870361328","0.04341554641723633"
"lfpe","finished","-","jabareen","","2024-02-27T16:02:01.000Z","16289","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","60.15949630737305","5.9186859130859375","63.20990753173828","0.5896461009979248","34949","129.03860473632812","8.100343704223633","129.03860473632812","0.1456132531166077"
"sincos_100000.0","finished","-","jabareen","","2024-02-27T16:02:02.000Z","16311","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","60.422950744628906","5.376630783081055","51.557491302490234","0.6651901006698608","34949","153.64219665527344","8.972583770751953","153.64219665527344","-0.01729142665863037"
"fourier_1.0","finished","-","jabareen","","2024-02-27T16:02:02.000Z","16322","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","59.3098030090332","5.990861892700195","64.76866912841797","0.5795267820358276","34949","127.9609375","7.995736598968506","127.9609375","0.15274864435195923"
"fourier_0.5","finished","-","jabareen","","2024-02-27T16:02:02.000Z","16265","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","51.709693908691406","6.380800247192383","73.5131607055664","0.5227581858634949","34949","122.3818359375","7.904562473297119","122.3818359375","0.1896888017654419"
"none","finished","-","jabareen","","2024-02-28T12:37:59.000Z","18752","","32","16","false","0.5","false","32","ef","","149","0.00001449676380431657","38.06996154785156","4.439550399780273","34.05206298828125","0.7789589166641235","34949","170.1761474609375","9.492919921875","170.1761474609375","-0.12676548957824707"
